time,tavg,prcp,wdir,wspd,wpgt,pres
2014-01-01,-4.875,0.0,223.0125,17.125,37.0,1020.25
2014-01-02,-5.875,0.0,170.1875,10.75,21.0,1022.0
2014-01-03,-6.625,0.0,154.1,11.875,20.0,1019.0
2014-01-04,-4.5,0.05,162.59999999999997,12.625,22.0,1012.75
2014-01-05,-2.375,0.0625,209.76250000000002,11.0,22.0,1011.25
2014-01-06,-3.125,0.0,146.71249999999998,10.25,18.0,1013.25
2014-01-07,-3.5,0.175,177.32500000000002,15.0,29.0,1008.5
2014-01-08,-1.375,0.425,245.0625,15.25,37.0,1000.75
2014-01-09,-0.375,0.11250000000000002,240.56250000000003,11.625,28.0,998.375
2014-01-10,-2.5,0.46249999999999997,82.53750000000001,14.375,29.0,986.875
2014-01-11,-9.625,0.0875,335.07500000000005,16.5,38.0,994.875
2014-01-12,-10.0,0.0,346.84999999999997,10.5,22.0,999.0
2014-01-13,-13.375,0.0625,255.625,16.375,31.0,1005.375
2014-01-14,-13.125,0.0,308.6,11.125,26.0,1014.375
2014-01-15,-11.5,0.0,84.93749999999999,9.0,19.0,1019.25
2014-01-16,-12.375,0.0,44.849999999999994,11.25,23.0,1018.75
2014-01-17,-15.125,0.0,54.1875,11.625,20.0,1022.125
2014-01-18,-15.625,0.0,37.574999999999996,9.625,19.0,1026.5
2014-01-19,-16.875,0.0,288.8125,10.5,21.0,1032.875
2014-01-20,-16.625,0.0,310.8375,6.875,16.0,1033.875
2014-01-21,-14.0,0.0,270.3625,4.25,13.0,1029.875
2014-01-22,-16.0,0.0,139.8125,6.125,18.0,1027.25
2014-01-23,-16.125,0.0,200.425,6.5,15.0,1031.625
2014-01-24,-15.375,0.0,189.05,8.75,22.0,1033.75
2014-01-25,-16.25,0.0,294.52500000000003,13.5,31.0,1031.25
2014-01-26,-13.25,0.0,265.6625,6.0,14.0,1029.625
2014-01-27,-17.75,0.0,137.4375,9.5,27.0,1030.75
2014-01-28,-21.375,0.0,118.23750000000001,16.875,31.0,1039.25
2014-01-29,-24.25,0.0,132.675,13.125,26.0,1045.125
2014-01-30,-27.125,0.0,174.25,14.25,26.0,1047.25
2014-01-31,-25.5,0.0,172.625,20.125,37.0,1043.75
2014-02-01,-18.25,0.2875,176.6125,25.0,43.0,1028.5
2014-02-02,-13.0,0.225,182.95000000000002,15.0,35.0,1023.875
2014-02-03,-9.125,0.0875,229.225,11.625,21.0,1022.875
2014-02-04,-5.75,0.0,247.5,12.875,28.0,1024.375
2014-02-05,-8.125,0.0,170.29999999999998,10.5,20.0,1018.25
2014-02-06,-13.25,0.0,156.125,11.75,21.0,1009.625
2014-02-07,-11.375,0.0,190.8875,8.25,17.0,1006.625
2014-02-08,-5.875,0.0875,162.2,17.0,35.0,1003.125
2014-02-09,-3.5,0.0,177.2875,12.5,27.0,1006.375
2014-02-10,-3.5,0.1125,150.2875,12.0,24.0,1007.5
2014-02-11,-3.25,0.09999999999999999,181.98749999999998,10.5,21.0,1008.75
2014-02-12,-3.5,0.1375,185.9375,10.5,22.0,1005.875
2014-02-13,-2.75,0.1875,206.85,9.0,20.0,1007.25
2014-02-14,-2.875,0.0,112.02499999999998,7.75,17.0,1009.25
2014-02-15,-3.75,0.0,235.8125,7.25,14.0,1010.375
2014-02-16,-5.25,0.175,171.12500000000003,15.5,34.0,1003.875
2014-02-17,-3.25,0.125,203.32500000000002,14.125,27.0,996.0
2014-02-18,-3.75,0.15000000000000002,267.7625,13.875,31.0,999.125
2014-02-19,-4.5,0.037500000000000006,248.52499999999998,12.5,32.0,1005.75
2014-02-20,-5.875,0.0,114.1625,5.875,14.0,1008.75
2014-02-21,-9.25,0.0,114.825,10.875,29.0,1015.375
2014-02-22,-5.125,0.13749999999999998,181.38750000000002,17.5,36.0,1011.125
2014-02-23,-3.0,0.0,222.55,16.375,36.0,1016.375
2014-02-24,-2.25,0.0,223.10000000000002,20.75,44.0,1022.875
2014-02-25,-3.875,0.0,209.925,16.25,32.0,1029.625
2014-02-26,-5.0,0.0,175.82500000000002,9.0,20.0,1030.625
2014-02-27,-5.0,0.0,176.97500000000002,8.25,17.0,1025.25
2014-02-28,-3.875,0.0,166.1375,6.25,14.0,1020.25
2014-03-01,-5.375,0.0,141.76250000000002,9.625,18.0,1017.75
2014-03-02,-3.25,0.0,154.73749999999998,10.75,20.0,1015.125
2014-03-03,-2.75,0.0,179.2375,13.125,28.0,1013.5
2014-03-04,-1.0,0.0125,197.8,6.75,21.0,1018.5
2014-03-05,-1.25,0.0,119.78750000000001,5.875,18.0,1026.25
2014-03-06,-2.75,0.0,174.8625,10.5,24.0,1028.625
2014-03-07,-2.75,0.0,217.58749999999998,18.125,38.0,1026.75
2014-03-08,-3.75,0.05,227.31249999999997,24.625,51.0,1017.0
2014-03-09,-2.25,0.0,242.1875,23.75,47.0,1020.875
2014-03-10,-0.375,0.0125,251.575,22.25,45.0,1015.375
2014-03-11,-2.125,0.1125,286.63750000000005,21.125,43.0,1018.5
2014-03-12,-2.75,0.0,267.5875,22.5,53.0,1018.5
2014-03-13,-1.0,0.0,270.51250000000005,16.5,32.0,1010.875
2014-03-14,-3.0,0.0,266.05,26.0,56.0,999.5
2014-03-15,-4.125,0.3375,190.725,15.5,32.0,977.125
2014-03-16,-8.0,0.25,331.65000000000003,21.875,41.0,975.625
2014-03-17,-9.0,0.0,245.83749999999998,9.375,25.0,992.125
2014-03-18,-10.125,0.0,245.525,7.875,25.0,1002.25
2014-03-19,-7.875,0.0625,163.35000000000002,10.375,26.0,998.5
2014-03-20,-8.25,0.0125,260.075,8.125,20.0,1006.5
2014-03-21,-2.125,0.1,216.0875,27.375,59.0,995.375
